overall_rank,variant,model,RMSE_log_mean,RMSE_log_std,RMSE_log_ci_lower,RMSE_log_ci_upper,MAE_log_mean,MAE_log_std,MAE_log_ci_lower,MAE_log_ci_upper,R2_log_mean,R2_log_std,R2_log_ci_lower,R2_log_ci_upper
20,without_outlier_linear,CatBoost,0.679808497212106,0.04073112512893684,0.6421384893123985,0.7174785051118135,0.5567173865789792,0.048704196625827006,0.511673517404337,0.6017612557536214,0.6627882162529878,0.09004668048726579,0.5795089266541866,0.7460675058517889
21,without_outlier_linear,RandomForest,0.6801226122391874,0.04807729299333884,0.635658532223657,0.7245866922547177,0.5557439659059875,0.05410009013863,0.5057097275576526,0.6057782042543224,0.6631816982074168,0.08627260506985143,0.583392846212243,0.7429705502025906
22,with_outlier_default_adaptive,XGBoost,0.6807575877689097,0.04209694990942733,0.6418244026280182,0.7196907729098012,0.5596933627669115,0.045642859550448424,0.5174807581706016,0.6019059673632214,0.6621029480160977,0.08890232456504779,0.5798820111265224,0.744323884905673
23,without_outlier_adaptive,Bagging,0.6829303044124316,0.056998674189719316,0.6302153229283043,0.735645285896559,0.5584385554967054,0.06229776792029032,0.5008227297059207,0.6160543812874901,0.6607211980474332,0.08758711360787981,0.579716628419736,0.7417257676751304
24,with_outlier_default_linear,Bagging,0.6835997418166324,0.05835537504244871,0.6296300213171188,0.7375694623161461,0.5575713050993114,0.06660858315642532,0.49596864016560255,0.6191739700330202,0.6614525005255247,0.08062212483978959,0.5868894711470787,0.7360155299039708
25,without_outlier_linear,Bagging,0.6850322458063882,0.05298302390519374,0.6360311214146365,0.73403337019814,0.5609205502947738,0.06037223890046488,0.5050855418312377,0.61675555875831,0.6596904212832306,0.08074291214384416,0.585015682280179,0.7343651602862823
26,with_outlier_default_adaptive,Bagging,0.6855886853251006,0.056471168669967896,0.6333615650781297,0.7378158055720716,0.560004015996257,0.06613328668747179,0.4988409269810504,0.6211671050114637,0.6587073238722561,0.08415816702169053,0.5808740009160057,0.7365406468285064
27,with_outlier_default_linear,HistGradientBoosting,0.6857826124005538,0.06894494249592414,0.6220191754651663,0.7495460493359414,0.5582348424199137,0.07955106022177669,0.48466238259961086,0.6318073022402166,0.655849136161154,0.10318351324782311,0.5604203026373862,0.7512779696849219
28,without_outlier_adaptive,AdaBoost,0.6859723102417767,0.045662007631090476,0.6437419966244966,0.7282026238590569,0.5647614453791164,0.04379156638758874,0.5242610013933676,0.6052618893648652,0.6578962780742147,0.08509664540412125,0.5791950073760849,0.7365975487723445
29,without_outlier_linear,HistGradientBoosting,0.6872091729019666,0.07267436902057009,0.6199965917015957,0.7544217541023375,0.561783746921991,0.08497765068576023,0.48319252798320966,0.6403749658607722,0.6546138682929158,0.10337975096489693,0.5590035451508526,0.750224191434979
30,without_outlier_linear,AdaBoost,0.6872450879666891,0.048608062648531306,0.6422901278922178,0.7322000480411605,0.5658756545769908,0.047882845687910465,0.5215914083251578,0.6101599008288239,0.6558683917160059,0.0906812196865826,0.5720022512365754,0.7397345321954363
31,with_outlier_default_linear,AdaBoost,0.687948542587827,0.048818153863905055,0.6427992805460583,0.7330978046295957,0.5677304870395901,0.04832975632660618,0.5230329173836812,0.6124280566954989,0.6556985735427939,0.08712391616739075,0.5751223900985649,0.7362747569870229
32,with_outlier_default_adaptive,AdaBoost,0.6882998103225297,0.04935382683891201,0.6426551334073369,0.7339444872377225,0.5673482994632058,0.048869829409607005,0.5221512455127025,0.612545353413709,0.6542747450867906,0.09428459341577643,0.5670760397343143,0.7414734504392669
33,without_outlier_adaptive,GradientBoosting,0.6923789137933734,0.04433199279497402,0.6513786587424755,0.7333791688442712,0.567846639747221,0.04487209539401564,0.526346873103944,0.6093464063904981,0.6518111877940947,0.084005332115653,0.5741192135508878,0.7295031620373017
34,with_outlier_default_adaptive,GradientBoosting,0.6929210356899136,0.06357157572432308,0.6341271341673947,0.7517149372124324,0.5687974860005598,0.07121046607851048,0.5029387892121031,0.6346561827890165,0.6511438551330594,0.0901177667960576,0.5677988216638085,0.7344888886023103
35,without_outlier_adaptive,Lasso,0.6933519040479451,0.05644313558909037,0.6411507100766359,0.7455530980192543,0.568122489056388,0.04749869997223771,0.5241935183364295,0.6120514597763465,0.6527984889717185,0.07259920833797083,0.5856554198090903,0.7199415581343468
36,without_outlier_linear,Lasso,0.6939474344917943,0.05261562387544057,0.6452860984554917,0.7426087705280969,0.5706174059551574,0.04402384354852369,0.5299021414246865,0.6113326704856283,0.6521861153077435,0.07213873425799454,0.585468913640192,0.718903316975295
37,with_outlier_default_linear,GradientBoosting,0.6943050503262639,0.05220113453311019,0.6460270529959387,0.7425830476565891,0.5699027515296261,0.057411128650178,0.5168063132913687,0.6229991897678835,0.6487679403830645,0.09293735925512929,0.5628152188160516,0.7347206619500775
38,with_outlier_default_adaptive,Lasso,0.6944395276120423,0.06792753010115313,0.6316170402042448,0.7572620150198398,0.565106203544013,0.053959713096573554,0.5152017923061855,0.6150106147818405,0.6521159066328996,0.07344364894746207,0.5841918601628764,0.7200399531029229
39,with_outlier_default_adaptive,ElasticNet,0.6977647754211768,0.06582457234478872,0.6368871995532454,0.7586423512891082,0.5680267777608192,0.05425783373706207,0.51784665091615,0.6182069046054884,0.6488348517242802,0.07318708884843987,0.5811480837710257,0.7165216196775348
40,without_outlier_adaptive,ElasticNet,0.6980690695403435,0.053997122695769895,0.648130060193753,0.7480080788869341,0.5729334396231288,0.04622183401312579,0.530185372956627,0.6156815062896306,0.6479269173102375,0.07427445381043252,0.579234504495014,0.7166193301254611
41,without_outlier_linear,GradientBoosting,0.6985774030634831,0.04485549515183368,0.6570929890836091,0.7400618170433572,0.5753864158450467,0.04328390116134237,0.5353554838853607,0.6154173478047327,0.6438572260295603,0.09627801155135082,0.554814916389778,0.7328995356693426
42,with_outlier_default_linear,Lasso,0.6989772614382359,0.0684306619948199,0.6356894546377375,0.7622650682387343,0.569580171462896,0.054311486810110256,0.5193504238017339,0.619809919124058,0.6476155369563966,0.0741825968276012,0.579008077681198,0.7162229962315952
43,without_outlier_linear,ElasticNet,0.6990217541594325,0.04939848358495579,0.6533357766425274,0.7447077316763375,0.5756811874804347,0.04255677964075208,0.5363227307675773,0.6150396441932922,0.6470379793747788,0.07336865481003203,0.5791832909139064,0.7148926678356512
44,with_outlier_default_linear,ElasticNet,0.6995570974466867,0.0679585131795808,0.6367059554705357,0.7624082394228378,0.5701431170030735,0.05434736166565451,0.5198801906342899,0.6204060433718571,0.6470097831300613,0.07424046023234843,0.578348809130999,0.7156707571291236
45,with_outlier_default_adaptive,DecisionTree,0.7309011888686603,0.06887425031940494,0.6672031312921659,0.7945992464451547,0.5864673790093357,0.06104353202753034,0.5300115279513579,0.6429232300673134,0.6146917759903076,0.08758473739317768,0.5336894039946747,0.6956941479859404
