parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,unconstrained,11180,18,0.7368421052631579,True,8.696597904089217,7.079800407606686,8.696597904089217,True,7.079800407606686,True,8.696597904089217,True,19.289341758491577
primary,unconstrained,11181,20,0.75,True,11.686699467392877,9.381913565770514,11.686699467392877,True,7.381913565770513,True,11.686699467392877,True,22.283603797318914
primary,unconstrained,11182,22,0.6818181818181818,True,10.526633817448698,10.476096313988768,10.526633817448698,True,8.476096313988768,True,10.526633817448698,True,22.231129307784386
primary,unconstrained,11183,18,0.8333333333333334,True,9.478321604418236,8.568089600590806,9.478321604418236,True,6.568089600590808,True,9.478321604418236,True,19.702453313640746
primary,unconstrained,11184,18,0.7368421052631579,True,6.830635730288419,6.665140859652608,6.830635730288419,True,6.665140859652608,True,6.830635730288419,True,17.403956722256126
primary,unconstrained,11185,23,0.6521739130434783,True,13.602691931509943,13.221169646885208,13.602691931509943,True,8.221169646885208,True,13.602691931509943,True,25.297997764730056
primary,unconstrained,11186,16,0.7222222222222222,True,7.418259061736765,7.38120082884541,7.418259061736765,False,8.423442462571817,True,7.418259061736765,True,19.278117630646403
primary,unconstrained,11187,21,0.7142857142857143,True,13.680465356820994,11.672042272632279,13.680465356820994,True,5.672042272632279,True,13.680465356820994,True,24.93614435803699
primary,unconstrained,11188,18,0.5714285714285714,True,12.428050731172448,11.81026639728231,12.428050731172448,True,5.8102663972823105,True,12.428050731172448,True,22.4318098459939
primary,unconstrained,11189,20,0.75,True,11.912380660522484,11.896346758241144,11.912380660522484,True,6.896346758241143,True,11.912380660522484,True,21.786677316444695
primary,unconstrained,11190,19,0.7894736842105263,True,7.457211939182158,6.92716470725601,7.457211939182158,True,4.92716470725601,True,7.457211939182158,True,17.800594376812473
primary,unconstrained,11191,18,0.7368421052631579,True,10.928825661660252,10.119765645183591,10.928825661660252,True,9.037599793484658,True,10.928825661660252,True,22.723796681706602
primary,unconstrained,11192,16,0.631578947368421,True,9.293765340641958,8.955236819119126,9.293765340641958,True,6.9552368191191265,True,9.293765340641958,True,19.22092636295665
primary,unconstrained,11193,16,0.7222222222222222,True,6.702605341153346,5.1686785071730394,6.702605341153346,False,8.499341752319195,True,6.702605341153346,True,17.971726997777424
primary,unconstrained,11194,15,0.7647058823529411,True,6.054099927003884,5.979408061861835,6.054099927003884,False,6.355562311375019,True,6.054099927003884,True,17.349961826089277
primary,unconstrained,11195,16,0.8235294117647058,True,7.335591493087192,5.867576994260624,7.335591493087192,True,5.867576994260624,True,7.335591493087192,True,18.320161327577235
primary,unconstrained,11196,21,0.7142857142857143,True,10.347532226794245,9.737219189343598,10.347532226794245,True,7.737219189343599,True,10.347532226794245,True,21.608692042195642
primary,unconstrained,11197,17,0.7777777777777778,True,7.857708148102745,5.963585077703918,7.857708148102745,True,5.963585077703918,True,7.857708148102745,True,18.149449070525797
primary,unconstrained,11198,20,0.75,True,8.934059831771728,8.736636890500533,8.934059831771728,True,6.736636890500533,True,8.934059831771728,True,20.054519624127543
primary,unconstrained,11199,19,0.7894736842105263,True,10.653084238100263,9.149835069730429,10.653084238100263,True,7.14983506973043,True,10.653084238100263,True,21.389042737005305
primary,unconstrained,11200,17,0.6,True,12.090442067703933,11.655999197458438,12.090442067703933,True,6.655999197458438,True,12.090442067703933,True,22.294308298086197
primary,unconstrained,11201,19,0.7894736842105263,True,10.001554519314366,9.232383452386358,10.001554519314366,True,7.232383452386358,True,10.001554519314366,True,20.932532164731892
primary,unconstrained,11202,19,0.7894736842105263,True,9.738464670874077,9.535672285281112,9.738464670874077,True,7.535672285281113,True,9.738464670874077,True,19.942059691076068
primary,unconstrained,11203,20,0.75,True,12.200511043162825,11.29727981926873,12.200511043162825,True,6.297279819268729,True,12.200511043162825,True,23.805228798573353
primary,unconstrained,11204,19,0.7894736842105263,True,12.470594110736513,12.049022920539924,12.470594110736513,True,7.049022920539924,True,12.470594110736513,True,24.554186325778836
primary,unconstrained,11205,18,0.7368421052631579,True,8.203715555552694,7.9032699914592754,8.203715555552694,True,7.9032699914592754,True,8.203715555552694,True,19.142174659550136
primary,unconstrained,11206,16,0.631578947368421,True,9.844695525582317,7.803888037691918,9.844695525582317,True,5.803888037691918,True,9.844695525582317,True,20.209017989621362
primary,unconstrained,11207,17,0.6842105263157895,True,7.178609976069616,5.342842351946665,7.178609976069616,False,8.133052069051512,True,7.178609976069616,True,18.161829547766825
primary,unconstrained,11208,20,0.6666666666666666,True,9.594340865629274,8.859464166825504,9.594340865629274,True,8.296010453804346,True,9.594340865629274,True,21.666219275777557
primary,unconstrained,11209,20,0.75,True,12.449856936161794,11.374855644378997,12.449856936161794,True,5.3748556443789965,True,12.449856936161794,True,23.052662619507117
primary,unconstrained,11210,20,0.75,True,10.180095453852367,9.280279109337837,10.180095453852367,True,7.280279109337837,True,10.180095453852367,True,21.95560491533449
primary,unconstrained,11211,21,0.7142857142857143,True,9.526170329328686,8.603057466454304,9.526170329328686,True,6.603057466454304,True,9.526170329328686,True,21.06610063153071
primary,unconstrained,11212,18,0.7368421052631579,True,6.946568921581209,5.445398998674967,6.946568921581209,True,5.445398998674967,True,6.946568921581209,True,17.14347877325376
primary,unconstrained,11213,16,0.55,True,7.694510953452012,7.154287539847951,7.694510953452012,True,5.154287539847951,True,7.694510953452012,True,17.73885413661443
primary,unconstrained,11214,19,0.7894736842105263,True,11.082492431180743,9.035462818990029,11.082492431180743,True,7.035462818990029,True,11.082492431180743,True,21.77131308366613
primary,unconstrained,11215,22,0.6818181818181818,True,12.78313801750146,10.946248307173592,12.78313801750146,True,8.946248307173592,True,12.78313801750146,True,24.448522984500286
primary,unconstrained,11216,16,0.8235294117647058,True,7.7326452744691885,6.224977134919774,7.7326452744691885,True,6.224977134919774,True,7.7326452744691885,True,18.751943249937355
primary,unconstrained,11217,18,0.7368421052631579,True,6.623278294382693,6.3912105637018195,6.623278294382693,True,6.3912105637018195,True,6.623278294382693,True,17.364483863958554
primary,unconstrained,11218,20,0.75,True,10.27836436503141,9.4508716837794,10.27836436503141,True,7.4508716837794005,True,10.27836436503141,True,22.396668929611387
