parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,rank_preserving,6609,21,0.7142857142857143,True,12.175411789649967,9.58351305497998,12.175411789649967,True,7.58351305497998,True,12.175411789649967,True,23.17884444913172
primary,rank_preserving,6610,21,0.7142857142857143,True,9.691990444566244,9.41484330475652,9.691990444566244,True,7.41484330475652,True,9.691990444566244,True,21.097806795211294
primary,rank_preserving,6611,19,0.7,True,7.553366111572708,7.18849428388023,7.553366111572708,True,7.18849428388023,True,7.553366111572708,True,18.807177939913895
primary,rank_preserving,6612,17,0.7777777777777778,True,8.886716954110856,7.652185148020216,8.886716954110856,True,7.652185148020216,True,8.886716954110856,True,20.139984763314924
primary,rank_preserving,6613,17,0.6,True,11.70823800676503,10.819350216888603,11.70823800676503,True,5.819350216888603,True,11.70823800676503,True,21.72818936799351
primary,rank_preserving,6614,20,0.75,True,10.490995132587758,9.055297527179317,10.490995132587758,True,7.0552975271793175,True,10.490995132587758,True,21.930844041472234
primary,rank_preserving,6615,19,0.7894736842105263,True,11.316079215604212,10.866794677090827,11.316079215604212,True,5.866794677090826,True,11.316079215604212,True,21.43909914501066
primary,rank_preserving,6616,16,0.8235294117647058,True,8.106327966331433,7.32081132455567,8.106327966331433,True,7.32081132455567,True,8.106327966331433,True,19.57840219732243
primary,rank_preserving,6617,21,0.7142857142857143,True,12.327510303006491,12.325162582941264,12.327510303006491,True,7.325162582941266,True,12.327510303006491,True,23.799989590114496
primary,rank_preserving,6618,18,0.65,True,8.024653518701598,7.71426714931317,8.024653518701598,False,8.038722870322292,True,8.024653518701598,True,19.713133289844993
primary,rank_preserving,6619,18,0.65,True,6.109553226157409,5.191458364221545,6.109553226157409,False,7.729597219884759,True,6.109553226157409,True,17.274253995358425
primary,rank_preserving,6620,19,0.7894736842105263,True,9.031555607278259,8.401374700688269,9.031555607278259,True,6.401374700688269,True,9.031555607278259,True,19.30147812733089
primary,rank_preserving,6621,19,0.7,True,7.5013429059719705,6.6793506929520134,7.5013429059719705,True,6.6793506929520134,True,7.5013429059719705,True,18.64283114306609
primary,rank_preserving,6622,20,0.6666666666666666,True,10.306459374731025,9.51061006395322,10.306459374731025,True,8.91748045579061,True,10.306459374731025,True,22.448263321755167
primary,rank_preserving,6623,20,0.75,True,11.958137327622307,11.117730460825827,11.958137327622307,True,6.117730460825827,True,11.958137327622307,True,22.642905278239287
primary,rank_preserving,6624,19,0.7894736842105263,True,11.553909404534897,11.502968223485997,11.553909404534897,True,6.502968223485995,True,11.553909404534897,True,21.85396249517629
primary,rank_preserving,6625,20,0.75,True,12.370178813003196,9.510256159315539,12.370178813003196,True,7.510256159315538,True,12.370178813003196,True,22.94752115838628
primary,rank_preserving,6626,18,0.8333333333333334,True,11.362831392103486,8.708377380669232,11.362831392103486,True,6.708377380669232,True,11.362831392103486,True,22.52343265124187
primary,rank_preserving,6627,20,0.75,True,10.057586642866918,9.148926113328859,10.057586642866918,True,7.148926113328859,True,10.057586642866918,True,20.93338249081941
primary,rank_preserving,6628,20,0.6666666666666666,True,9.87044045538581,8.637322534889991,9.87044045538581,True,8.637322534889991,True,9.87044045538581,True,21.52273637954253
primary,rank_preserving,6629,18,0.8333333333333334,True,10.147157572488744,8.168937811490169,10.147157572488744,True,6.168937811490169,True,10.147157572488744,True,20.84784592968635
