subset_id,subset_label,config_slug,config_label,dropped,outer_fold,outer_fold_index,cost,n_train,n_test,seed,RMSE,MAE,MedAE,R2,RMSLE,RMSE_log,MAE_log,R2_log
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,A,0,7,1928,356,20260851,148.44275329195838,50.9695821335123,3.092795858776168,0.1731979769476715,0.7369370344558597,0.7369370344558597,0.6012044011851464,0.6483621782472293
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,B,1,7,1807,477,20270851,112.49950251488416,35.07728405335943,2.085045932656474,0.0560841312912552,0.7188403278642048,0.7188403278642048,0.589568943145013,0.6833926340749077
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,C,2,7,1895,389,20280851,236.722783109264,67.38743985366459,6.95776059504895,-0.0229419506808821,0.8573360326290482,0.8573360326290482,0.6633270072351498,0.4777823582573531
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,D,3,7,1853,431,20290851,176.14106614801494,44.78044388606182,2.0824882465395413,0.0601731059784189,0.8911546483593444,0.8911546483593444,0.7076756820461944,0.5402900361763223
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,E,4,7,2081,203,20300851,360.9881359399164,156.7093002260546,33.15324182751757,-0.0035062466723367,0.8944675210554316,0.8944675210554316,0.7551874072014297,0.171244179975425
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,F,5,7,1896,388,20310851,244.2635990726416,81.34204576241842,2.034507819532304,0.0103778482898917,0.7626253125996938,0.7626253125996938,0.6032548191354842,0.5742990954080635
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,G,6,7,2244,40,20320851,105.4389356929278,34.05055619839574,3.472843159470832,0.0667414533375663,0.843042925904355,0.843042925904355,0.7257062147333295,0.4662401900152088
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",A,0,7,1928,356,20260851,156.71045689573228,51.82276033935569,3.5317466684747667,0.0785336458398945,0.6958784512931672,0.6958784512931672,0.5682577944919075,0.6864537630498561
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",B,1,7,1807,477,20270851,113.27619725195537,35.44366262806115,2.177704710459893,0.0430055799143695,0.6970353590464698,0.6970353590464698,0.5553155195168951,0.7023089579667078
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",C,2,7,1895,389,20280851,236.8291706318211,66.97901520290752,7.744862707630193,-0.0238616147125589,0.8158986529946132,0.8158986529946132,0.6470066834615724,0.5270428256793983
